;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2019;02. Arganzuela;95 a 99 años;526;2;126;242;74;6;1;35;0;20;7;11;0;1;1;107;0;18;40;20;4;1;7;0;5;5;6;0;1;0;419;2;108;202;54;2;0;28;0;15;2;5;0;0;1
1 de enero de 2019;02. Arganzuela;100 y más años;74;2;20;35;5;0;1;7;1;2;0;0;0;0;1;13;0;2;3;2;0;0;3;0;2;0;0;0;0;1;61;2;18;32;3;0;1;4;1;0;0;0;0;0;0
1 de enero de 2019;03. Retiro;Total;95.784;160;1.683;5.922;13.165;1.961;2.618;15.899;1.619;7.573;2.639;31.583;830;9.998;134;42.275;67;472;1.760;4.773;967;1.564;7.291;607;2.372;2.056;15.164;475;4.654;53;53.509;93;1.211;4.162;8.392;994;1.054;8.608;1.012;5.201;583;16.419;355;5.344;81
1 de enero de 2019;03. Retiro;25 a 29 años;6.917;14;52;77;523;181;178;1.299;57;150;70;3.279;37;998;2;3.239;11;31;45;273;104;112;747;31;50;46;1.382;12;395;0;3.678;3;21;32;250;77;66;552;26;100;24;1.897;25;603;2
1 de enero de 2019;03. Retiro;30 a 34 años;7.679;4;30;113;667;180;319;956;90;487;206;3.221;91;1.306;9;3.634;2;14;52;335;98;203;573;46;147;144;1.480;40;495;5;4.045;2;16;61;332;82;116;383;44;340;62;1.741;51;811;4
1 de enero de 2019;03. Retiro;35 a 39 años;8.437;2;23;97;737;171;277;1.069;175;719;270;3.482;152;1.263;0;4.155;1;8;46;406;106;181;639;77;262;192;1.623;86;528;0;4.282;1;15;51;331;65;96;430;98;457;78;1.859;66;735;0
1 de enero de 2019;03. Retiro;40 a 44 años;8.885;10;28;113;694;168;248;1.206;230;731;277;3.861;128;1.191;0;4.284;3;7;49;374;107;166;716;106;252;197;1.741;72;494;0;4.601;7;21;64;320;61;82;490;124;479;80;2.120;56;697;0
1 de enero de 2019;03. Retiro;45 a 49 años;8.371;14;35;129;760;186;239;1.110;265;705;260;3.578;102;988;0;4.026;10;20;53;391;102;138;585;92;253;180;1.696;49;457;0;4.345;4;15;76;369;84;101;525;173;452;80;1.882;53;531;0
1 de enero de 2019;03. Retiro;50 a 54 años;8.394;13;47;175;863;222;316;1.392;218;744;191;3.199;80;934;0;3.920;7;20;90;401;114;188;696;75;249;139;1.445;48;448;0;4.474;6;27;85;462;108;128;696;143;495;52;1.754;32;486;0
1 de enero de 2019;03. Retiro;55 a 59 años;8.244;17;53;238;971;202;301;1.679;160;699;183;2.775;64;895;7;3.644;10;22;95;414;86;152;713;55;235;143;1.248;42;426;3;4.600;7;31;143;557;116;149;966;105;464;40;1.527;22;469;4
