;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2025;02. Arganzuela;50 a 54 años;11.472;7;37;230;1.473;335;532;1.600;308;934;406;4.217;135;1.258;0;5.498;0;19;119;758;189;322;851;134;325;265;1.879;69;568;0;5.974;7;18;111;715;146;210;749;174;609;141;2.338;66;690;0
1 de enero de 2025;02. Arganzuela;55 a 59 años;11.572;10;48;288;1.494;461;674;2.066;273;1.030;328;3.683;83;1.134;0;5.457;6;29;133;728;236;385;1.024;101;365;252;1.629;41;528;0;6.115;4;19;155;766;225;289;1.042;172;665;76;2.054;42;606;0
1 de enero de 2025;02. Arganzuela;60 a 64 años;11.126;9;67;433;1.751;503;544;2.162;200;945;284;3.205;65;958;0;5.032;4;26;191;820;192;261;1.023;58;306;237;1.422;42;450;0;6.094;5;41;242;931;311;283;1.139;142;639;47;1.783;23;508;0
1 de enero de 2025;02. Arganzuela;65 a 69 años;9.985;7;89;608;1.923;322;294;2.225;172;999;204;2.319;59;764;0;4.290;4;29;243;721;126;176;956;59;273;174;1.098;38;393;0;5.695;3;60;365;1.202;196;118;1.269;113;726;30;1.221;21;371;0
1 de enero de 2025;02. Arganzuela;70 a 74 años;7.777;11;117;847;1.861;220;245;1.580;117;710;194;1.449;27;399;0;3.386;6;43;336;593;84;164;745;36;228;166;733;18;234;0;4.391;5;74;511;1.268;136;81;835;81;482;28;716;9;165;0
1 de enero de 2025;02. Arganzuela;75 a 79 años;6.314;9;224;1.133;1.835;164;179;927;67;538;192;837;18;191;0;2.595;2;67;368;584;74;114;406;26;180;165;471;12;126;0;3.719;7;157;765;1.251;90;65;521;41;358;27;366;6;65;0
1 de enero de 2025;02. Arganzuela;80 a 84 años;4.514;17;304;1.109;1.284;108;132;547;41;340;119;389;14;110;0;1.686;4;86;310;383;52;96;242;13;97;111;215;9;68;0;2.828;13;218;799;901;56;36;305;28;243;8;174;5;42;0
1 de enero de 2025;02. Arganzuela;85 a 89 años;2.851;12;327;926;752;72;62;291;7;184;44;130;6;38;0;878;0;76;209;193;29;36;125;2;53;40;82;5;28;0;1.973;12;251;717;559;43;26;166;5;131;4;48;1;10;0
1 de enero de 2025;02. Arganzuela;90 a 94 años;1.974;11;323;727;459;34;26;168;8;86;26;86;2;18;0;548;1;54;182;105;19;14;62;2;23;25;46;2;13;0;1.426;10;269;545;354;15;12;106;6;63;1;40;0;5;0
1 de enero de 2025;02. Arganzuela;95 a 99 años;583;7;116;225;123;7;6;45;2;22;7;20;0;3;0;140;0;29;44;30;5;3;10;0;2;5;10;0;2;0;443;7;87;181;93;2;3;35;2;20;2;10;0;1;0
1 de enero de 2025;02. Arganzuela;100 y más años;106;2;24;47;22;0;0;3;0;3;2;2;0;1;0;19;0;1;12;1;0;0;1;0;1;2;1;0;0;0;87;2;23;35;21;0;0;2;0;2;0;1;0;1;0
1 de enero de 2025;03. Retiro;Total;96.891;132;1.054;4.208;11.593;1.857;2.794;15.229;1.646;6.771;2.349;34.694;925;13.639;0;42.868;64;306;1.232;4.256;896;1.618;7.027;595;2.113;1.802;16.215;494;6.250;0;54.023;68;748;2.976;7.337;961;1.176;8.202;1.051;4.658;547;18.479;431;7.389;0
1 de enero de 2025;03. Retiro;25 a 29 años;7.834;28;18;56;549;138;279;1.472;77;106;29;3.592;60;1.430;0;3.616;18;9;37;282;85;174;828;40;35;13;1.446;24;625;0;4.218;10;9;19;267;53;105;644;37;71;16;2.146;36;805;0
1 de enero de 2025;03. Retiro;30 a 34 años;8.099;11;37;48;536;159;240;1.024;98;126;59;3.526;81;2.154;0;3.885;8;25;29;298;94;138;604;47;58;30;1.590;36;928;0;4.214;3;12;19;238;65;102;420;51;68;29;1.936;45;1.226;0
1 de enero de 2025;03. Retiro;35 a 39 años;7.476;4;30;76;562;155;283;780;86;340;172;3.176;94;1.718;0;3.510;3;15;35;288;84;165;440;42;98;115;1.471;43;711;0;3.966;1;15;41;274;71;118;340;44;242;57;1.705;51;1.007;0
